CHORD_ROOT,CHORD_TYPE,CHORD_STRUCTURE,NOTES,N/A,N/A,N/A,N/A,N/A,N/A
E#,+(#11),1;3;#5;#11,E#,G##,B##,A##,N/A,N/A,N/A
E#,9,1;3;5;b7;9,E#,G##,B#,D#,F##,N/A,N/A
E#,9b5,1;3;b5;b7;9,E#,G##,B,D#,F##,N/A,N/A
E#,maj13,1;3;5;7;9;11;13,E#,G##,B#,D##,F##,A#,C##
E#,7,1;3;5;b7,E#,G##,B#,D#,N/A,N/A,N/A
E#,dim7,1;b3;b5;bb7,E#,G#,B,D,N/A,N/A,N/A
E#,aug,1;3;#5,E#,G##,B##,N/A,N/A,N/A,N/A
E#,m(maj9),1;b3;5;7;9,E#,G#,B#,D##,F##,N/A,N/A
E#,maj,1;3;5,E#,G##,B#,N/A,N/A,N/A,N/A
E#,13(#11),1;3;5;b7;9;#11;13,E#,G##,B#,D#,F##,A##,C##
E#,11,1;3;5;b7;9;11,E#,G##,B#,D#,F##,A#,N/A
E#,maj9,1;3;5;7;9,E#,G##,B#,D##,F##,N/A,N/A
E#,sus2,1;2;5,E#,F##,B#,N/A,N/A,N/A,N/A
E#,7(b13),1;3;5;b7;b13,E#,G##,B#,D#,C#,N/A,N/A
E#,maj7(#5),1;3;#5;7,E#,G##,B##,D##,N/A,N/A,N/A
E#,m11,1;b3;5;b7;9;11,E#,G#,B#,D#,F##,A#,N/A
E#,add9,1;3;5;9,E#,G##,B#,F##,N/A,N/A,N/A
E#,m7b5,1;b3;b5;b7,E#,G#,B,D#,N/A,N/A,N/A
E#,m13,1;b3;5;b7;9;11;13,E#,G#,B#,D#,F##,A#,C##
E#,m,1;b3;5,E#,G#,B#,N/A,N/A,N/A,N/A
E#,7b5,1;3;b5;b7,E#,G##,B,D#,N/A,N/A,N/A
E#,9(#11),1;3;5;b7;9;#11,E#,G##,B#,D#,F##,A##,N/A
E#,m7,1;b3;5;b7,E#,G#,B#,D#,N/A,N/A,N/A
E#,m(maj7),1;b3;5;7,E#,G#,B#,D##,N/A,N/A,N/A
E#,dim,1;b3;b5,E#,G#,B,N/A,N/A,N/A,N/A
E#,6,1;3;5;6,E#,G##,B#,C##,N/A,N/A,N/A
E#,7(#5),1;3;#5;b7,E#,G##,B##,D#,N/A,N/A,N/A
E#,7sus4,1;4;5;b7,E#,A#,B#,D#,N/A,N/A,N/A
E#,maj7,1;3;5;7,E#,G##,B#,D##,N/A,N/A,N/A
E#,5,1;5,E#,B#,N/A,N/A,N/A,N/A,N/A
E#,7(#11),1;3;5;b7;#11,E#,G##,B#,D#,A##,N/A,N/A
E#,13(#9),1;3;5;b7;#9;11;13,E#,G##,B#,D#,F###,A#,C##
E#,m6,1;b3;5;6,E#,G#,B#,C##,N/A,N/A,N/A
E#,13(#5),1;3;#5;b7;9;11;13,E#,G##,B##,D#,F##,A#,C##
E#,m6/9,1;b3;5;6;9,E#,G#,B#,C##,F##,N/A,N/A
E#,7(b9),1;3;5;b7;b9,E#,G##,B#,D#,F#,N/A,N/A
